Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow
2490493450,"Apr 10, 2019, 12:00:20 AM",Afternoon Run,Run,,38,0.16,,FALSE,,activities/2645394431.fit.gz,0,,38,38,5.5,,,,,,0,0,,,95,92.10526276,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493459,"Apr 9, 2019, 11:23:59 PM",Afternoon Run,Run,,78,0.35,,FALSE,,activities/2645394434.fit.gz,0,,78,78,5.199999809,,,,,,0,0,,,94,90.19230652,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493461,"Apr 9, 2019, 11:55:04 PM",Afternoon Run,Run,,37,0.17,,FALSE,,activities/2645394437.fit.gz,0,,37,37,6.199999809,,,,,,0,0,,,95,93.91892242,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493464,"Apr 9, 2019, 10:23:58 PM",Afternoon Run,Run,,843,2.42,,FALSE,,activities/2645394435.fit.gz,0,,843,712,3.799999952,,,,,,0,0,,,87,83.83576965,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493476,"Apr 9, 2019, 11:46:34 PM",Afternoon Run,Run,,78,0.35,,FALSE,,activities/2645394438.fit.gz,0,,78,78,5.099999905,,,,,,0,0,,,91,89.58974457,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493489,"Apr 9, 2019, 11:29:20 PM",Afternoon Run,Run,,79,0.31,,FALSE,,activities/2645394432.fit.gz,0,,79,79,5,,,,,,0,0,,,91,89.68354797,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493501,"Apr 9, 2019, 11:37:43 PM",Evening Run,Run,,79,0.31,,FALSE,,activities/2645394446.fit.gz,0,,79,79,5.099999905,,,,,,0,0,,,90,89.13924408,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493505,"Apr 4, 2019, 12:40:24 PM",Morning Run,Run,,1858,6.44,,FALSE,,activities/2645394439.fit.gz,0,,1858,1858,4.699999809,,,,175.6999969,188.3000031,6.099999905,0.02946833,,,88,84.14316559,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493510,"Apr 10, 2019, 12:03:06 AM",Evening Run,Run,,37,0.17,,FALSE,,activities/2645394442.fit.gz,0,,37,37,6,,,,,,0,0,,,96,92.16216278,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493520,"Apr 9, 2019, 11:40:36 PM",Evening Run,Run,,81,0.35,,FALSE,,activities/2645394445.fit.gz,0,,81,81,5,,,,,,0,0,,,91,88.80246735,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493527,"Apr 9, 2019, 11:34:56 PM",Evening Run,Run,,79,0.35,,FALSE,,activities/2645394452.fit.gz,0,,79,79,5,,,,,,0,0,,,90,88.93670654,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493528,"Apr 10, 2019, 12:26:23 PM",Morning Run,Run,,2437,7.8,,FALSE,,activities/2645394444.fit.gz,0,,2437,2378,4.699999809,,,,177.5,188.3000031,4.699999809,-0.061515592,,,87,83.12082672,,,,,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493529,"Apr 9, 2019, 11:43:26 PM",Evening Run,Run,,80,0.36,,FALSE,,activities/2645394451.fit.gz,0,,80,80,5.099999905,,,,,,0,0,,,91,89.3125,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493536,"Apr 9, 2019, 11:26:39 PM",Evening Run,Run,,77,0.34,,FALSE,,activities/2645394454.fit.gz,0,,77,77,5.199999809,,,,,,0,0,,,94,90.15584564,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493542,"Apr 6, 2019, 6:25:46 PM",Afternoon Run,Run,,635,1.63,,FALSE,,activities/2645394457.fit.gz,0,,635,602,3.400000095,,,,,,0,0,,,82,80.08495331,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493546,"Apr 9, 2019, 11:49:24 PM",Evening Run,Run,,79,0.36,,FALSE,,activities/2645394456.fit.gz,0,,79,79,5.199999809,,,,,,0,0,,,93,89.62025452,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493549,"Apr 6, 2019, 7:35:52 PM",Afternoon Run,Run,,295,0.92,,FALSE,,activities/2645394453.fit.gz,0,,295,295,3.299999952,,,,,,0,0,,,83,80.96271515,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493559,"Apr 10, 2019, 12:06:54 AM",Evening Run,Run,,875,2.49,,FALSE,,activities/2645394449.fit.gz,0,,875,767,4.5,,,,182.6999969,188.3000031,3.099999905,0.032017931,,,90,83.73190308,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493565,"Apr 9, 2019, 11:32:07 PM",Evening Run,Run,,80,0.36,,FALSE,,activities/2645394450.fit.gz,0,,80,80,5.099999905,,,,,,0,0,,,91,88.98750305,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493566,"Apr 2, 2019, 11:41:24 AM",Morning Run,Run,,2826,9.35,,FALSE,,activities/2645394460.fit.gz,0,,2826,2554,4.199999809,,,,,,0,0,,,89,85.85321808,,,,,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493583,"Apr 3, 2019, 12:14:59 PM",Morning Run,Run,,876,3.22,,FALSE,,activities/2645394455.fit.gz,0,,876,845,4.400000095,,,,180.8999939,186.5,2,0.009309831,,,89,86.29496765,,,,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493584,"Apr 6, 2019, 5:05:27 PM",Lunch Run,Run,,613,2.07,,FALSE,,activities/2645394459.fit.gz,0,,613,600,3.700000048,,,,,,0,0,,,89,84.72711945,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493590,"Apr 6, 2019, 8:18:41 PM",Afternoon Run,Run,,300,0.96,,FALSE,,activities/2645394462.fit.gz,0,,300,300,3.400000095,,,,,,0,0,,,84,82.05000305,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493603,"Apr 3, 2019, 1:17:36 PM",Morning Run,Run,,1143,3.66,,FALSE,,activities/2645394458.fit.gz,0,,1143,1070,3.900000095,,,,177.1999969,186.5,3.599999905,-0.114541292,,,86,83.70200348,,,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493608,"Mar 31, 2019, 12:59:22 PM",Morning Run,Run,,4301,12.88,,FALSE,,activities/2645394464.fit.gz,0,,4301,3653,4,,,,,,0,0,,,88,85.09670258,,,,,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493609,"Apr 6, 2019, 6:09:43 PM",Afternoon Run,Run,,288,1.43,,FALSE,,activities/2645394461.fit.gz,0,,288,288,5.5,,,,,,0,0,,,97,89.89583588,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490493612,"Apr 9, 2019, 11:57:43 PM",Evening Run,Run,,36,0.17,,FALSE,,activities/2645394463.fit.gz,0,,36,36,6.099999905,,,,,,0,0,,,97,94.97222137,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
